source,source_label,label_name,label_role,diagnostic_class,diagnostic_subclass,count,likelihood_distribution
PTBXL,SR,sinus rhythm,rhythm,,,16748,0.0:16748
PTBXL,NORM,normal ECG,diagnostic,NORM,NORM,9514,15.0:38|34.0:1|35.0:37|50.0:505|80.0:1761|100.0:7172
PTBXL,ABQRS,abnormal QRS,form,,,3327,0.0:3327
PTBXL,IMI,inferior myocardial infarction,diagnostic,MI,IMI,2676,15.0:868|35.0:94|50.0:551|80.0:141|100.0:1022
PTBXL,ASMI,anteroseptal myocardial infarction,diagnostic,MI,AMI,2357,15.0:315|35.0:35|50.0:418|80.0:67|100.0:1522
PTBXL,LVH,left ventricular hypertrophy,diagnostic,HYP,LVH,2132,15.0:193|35.0:188|50.0:579|80.0:87|100.0:1085
PTBXL,NDT,non-diagnostic T abnormalities,diagnostic|form,STTC,STTC,1825,15.0:1|50.0:4|100.0:1820
PTBXL,LAFB,left anterior fascicular block,diagnostic,CD,LAFB/LPFB,1623,15.0:1|50.0:18|80.0:24|100.0:1580
PTBXL,AFIB,atrial fibrillation,rhythm,,,1514,0.0:1466|100.0:48
PTBXL,ISC_,non-specific ischemic,diagnostic,STTC,ISC_,1272,15.0:5|35.0:7|50.0:119|80.0:22|100.0:1119
PTBXL,PVC,ventricular premature complex,form,,,1143,0.0:116|100.0:1027
PTBXL,IRBBB,incomplete right bundle branch block,diagnostic,CD,IRBBB,1118,35.0:3|50.0:13|80.0:28|100.0:1074
PTBXL,STD_,non-specific ST depression,form,,,1009,0.0:1009
PTBXL,VCLVH,voltage criteria (QRS) for left ventricular hypertrophy,form,,,875,0.0:875
PTBXL,STACH,sinus tachycardia,rhythm,,,826,0.0:822|50.0:2|80.0:1|100.0:1
PTBXL,1AVB,first degree AV block,diagnostic,CD,_AVB,793,10.0:1|15.0:2|50.0:11|100.0:779
PTBXL,IVCD,non-specific intraventricular conduction disturbance (block),diagnostic,CD,IVCD,787,50.0:7|80.0:4|100.0:776
PTBXL,SARRH,sinus arrhythmia,rhythm,,,772,0.0:772
PTBXL,NST_,non-specific ST changes,diagnostic|form,STTC,NST_,767,0.0:208|15.0:1|35.0:1|50.0:21|80.0:5|100.0:531
PTBXL,ISCAL,ischemic in anterolateral leads,diagnostic,STTC,ISCA,659,15.0:3|35.0:2|50.0:126|80.0:5|100.0:523
