source,property,value
PTBXL,root,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/ptb-xl-dataset
PTBXL,metadata_file,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/ptb-xl-dataset/ptbxl_database.csv
PTBXL,n_records_in_metadata,21799
PTBXL,n_columns,28
PTBXL,columns,ecg_id|patient_id|age|sex|height|weight|nurse|site|device|recording_date|report|scp_codes|heart_axis|infarction_stadium1|infarction_stadium2|validated_by|second_opinion|initial_autogenerated_report|validated_by_human|baseline_drift|static_noise|burst_noise|electrodes_problems|extra_beats|pacemaker|strat_fold|filename_lr|filename_hr
PTBXL,record_id_column,ecg_id
PTBXL,patient_id_column,patient_id
PTBXL,n_unique_record_ids,21799
PTBXL,n_unique_patient_ids,18869
PTBXL,label_column,scp_codes (SCP-ECG statement -> likelihood dict)
PTBXL,label_vocabulary_file,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/ptb-xl-dataset/scp_statements.csv
PTBXL,n_label_statements_defined,71
PTBXL,n_distinct_labels_used,71
PTBXL,labels_used_but_undefined,(none)
PTBXL,signal_files_expected,21799
PTBXL,signal_dat_present,19490
PTBXL,signal_hea_present,19460
PTBXL,signal_pairs_present,19416
PTBXL,signal_missing,2383
PTBXL,orphan_dat_without_hea,74
PTBXL,orphan_hea_without_dat,44
PTBXL,sampling_frequency_hz,500.0:19441|None:19
PTBXL,num_leads,12:19441|None:19
PTBXL,num_samples,5000:19441|None:19
PTBXL,duration_seconds,10.0:19441|?:19
PTBXL,distinct_lead_orderings,2
PTBXL,lead_ordering_most_common,I|II|III|AVR|AVL|AVF|V1|V2|V3|V4|V5|V6
PTBXL,extra_metadata,age|sex|height|weight|report|infarction_stadium1|infarction_stadium2|validated_by_human|second_opinion|device|site|recording_date|strat_fold|heart_axis|pacemaker|baseline_drift|static_noise|burst_noise|electrodes_problems
PTBXL,has_predefined_folds,yes (strat_fold 1-10)
CHAPMAN,root,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/chapman-dataset
CHAPMAN,metadata_file,per-record WFDB .hea comments (#Dx/#Age/#Sex/#Rx/#Hx/#Sx)
CHAPMAN,label_vocabulary_file,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/chapman-dataset/ConditionNames_SNOMED-CT.csv
CHAPMAN,n_records_headers,45019
CHAPMAN,n_records_signals_mat,45001
CHAPMAN,n_unique_record_ids,45019
CHAPMAN,record_id_column,WFDB record name (e.g. JS00001)
CHAPMAN,patient_id_column,*** NONE -- this distribution carries no patient identifier ***
CHAPMAN,n_unique_patient_ids,0
CHAPMAN,n_label_codes_defined,55
CHAPMAN,n_distinct_labels_used,94
CHAPMAN,labels_used_but_undefined,10370003|106068003|111288001|164896001|17366009|233892002|251120003|251166008|251170000|251187003|251205003|251223006|29320008|365413008|418818005|425856008|426183003|426627000|426648003|426664006|427172004|445118002|445211001|446813000|49578007|50799005|54329005|55827005|55930002|5609005|57054005|61277005|61721007|63593006|6374002|65778007|67741000119109|67751000119106|713426002|713427006|733534002|77867006|81898007
CHAPMAN,n_labels_used_but_undefined,43
CHAPMAN,signal_hea_without_mat,120
CHAPMAN,signal_mat_without_hea,102
CHAPMAN,signal_pairs_present,44899
CHAPMAN,malformed_headers,1
CHAPMAN,malformed_header_examples,JS01052.hea:unparsable n_samples in record line (got '500000/mV')
CHAPMAN,sampling_frequency_hz,500.0:45019
CHAPMAN,num_leads,12:45019
CHAPMAN,num_samples,5000:45018|None:1
CHAPMAN,distinct_lead_orderings,2
CHAPMAN,lead_ordering_most_common,I|II|III|aVR|aVL|aVF|V1|V2|V3|V4|V5|V6
CHAPMAN,extra_metadata,Age|Sex|Rx|Hx|Sx (Rx/Hx/Sx are 'Unknown' throughout)
CHAPMAN,has_predefined_folds,no
STEMI,root,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/STEMI-dataset
STEMI,metadata_file,/home/lindtseyxvii/Codes/cardiosentry/dataset-files/STEMI-dataset/CSV/train.csv
STEMI,n_records_in_metadata,17960
STEMI,n_columns,28
