source_dataset,source_key,source_label,occurrences,status,disqualifies_normal,reason,action_required
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,426177001,16514,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,427084000,7231,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,164934002,7024,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,55930002,4216,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ABQRS,3327,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,59931005,2871,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,NDT,1825,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,LAFB,1623,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,39732003,1540,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,284470004,1303,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
PTB-XL v1.0.3,ptbxl,ISC_,1272,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,10370003,1180,EXCLUDE_UNKNOWN_CODE,True,"Label present in the data but not declared in config/label_mapping.yaml. Never guessed: it cannot create a target label, and (per unknown_code_policy) it is treated as a possible pathology so it blocks the NORMAL label.",Define this label in config/label_mapping.yaml if it is clinically relevant to STEMI/AF/LVH/NORMAL; otherwise it stays excluded and blocks NORMAL.
