source_dataset,source_key,source_label,acronym,source_label_name,cardiosentry_label,mapping_status,disqualifies_normal,reason
2026 ACS/STEMI dataset,stemi,STEMI,,,STEMI,ACCEPT,True,"Dedicated, explicit STEMI column in the source's own labelling schema. This is the only label in any of the three datasets that asserts ST-elevation myocardial infarction directly. 1442 positives."
2026 ACS/STEMI dataset,stemi,NSTEMI,,,(none),EXCLUDE_NOT_TARGET,False,Non-ST-elevation MI is by definition NOT STEMI. Mapping it to STEMI would invert the very distinction the model must learn.
2026 ACS/STEMI dataset,stemi,AMI,,,(none),EXCLUDE_NOT_TARGET,False,"Acute myocardial infarction, unspecified type. Covers both STEMI and NSTEMI presentations; the source records STEMI separately, so AMI alone carries no ST-elevation evidence. Verified in data: AMI=1 occurs in 2679 records of which only a subset are STEMI=1."
2026 ACS/STEMI dataset,stemi,OMI,,,(none),EXCLUDE_NOT_TARGET,False,"Old/prior myocardial infarction (and, in some ACS literature, ""occlusion MI""). Ambiguous and in neither reading equivalent to an acute ST-elevation ECG. Explicitly excluded by project rules."
2026 ACS/STEMI dataset,stemi,UA,,,(none),EXCLUDE_NOT_TARGET,False,Unstable angina -- ACS without infarction. Not STEMI.
2026 ACS/STEMI dataset,stemi,CTO,,,(none),EXCLUDE_NOT_TARGET,False,"Chronic total occlusion -- an angiographic finding, not an ECG diagnosis."
2026 ACS/STEMI dataset,stemi,PCI,,,(none),EXCLUDE_NOT_TARGET,False,"Percutaneous coronary intervention performed -- a treatment, not a diagnosis."
2026 ACS/STEMI dataset,stemi,Prior_PCI,,,(none),EXCLUDE_NOT_TARGET,False,"History of prior PCI -- clinical history, not an ECG diagnosis."
2026 ACS/STEMI dataset,stemi,LM,,,(none),EXCLUDE_NOT_TARGET,False,Left main coronary lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,PLAD,,,(none),EXCLUDE_NOT_TARGET,False,Proximal LAD lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,MLAD,,,(none),EXCLUDE_NOT_TARGET,False,Mid LAD lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,DLAD,,,(none),EXCLUDE_NOT_TARGET,False,Distal LAD lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,DB,,,(none),EXCLUDE_NOT_TARGET,False,Diagonal branch lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,PLCX,,,(none),EXCLUDE_NOT_TARGET,False,Proximal LCx lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,MLCX,,,(none),EXCLUDE_NOT_TARGET,False,Mid LCx lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,DLCX,,,(none),EXCLUDE_NOT_TARGET,False,Distal LCx lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,OM,,,(none),EXCLUDE_NOT_TARGET,False,Obtuse marginal lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,PRCA,,,(none),EXCLUDE_NOT_TARGET,False,Proximal RCA lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,MRCA,,,(none),EXCLUDE_NOT_TARGET,False,Mid RCA lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,DRCA,,,(none),EXCLUDE_NOT_TARGET,False,Distal RCA lesion -- angiographic culprit-vessel location.
2026 ACS/STEMI dataset,stemi,VF_VT,,,(none),EXCLUDE_NOT_TARGET,False,"Ventricular fibrillation / tachycardia -- a distinct arrhythmia, not AF."
2026 ACS/STEMI dataset,stemi,Paced,,,(none),EXCLUDE_NOT_TARGET,False,Paced rhythm. Not a target class. Recorded so it can be filtered downstream.
PTB-XL v1.0.3,ptbxl,NORM,,,NORMAL,ACCEPT,True,"SCP statement ""normal ECG"" (diagnostic_class NORM). This is a positive assertion of normality by the reporting cardiologist, not merely a rhythm observation. Subject to rules.normal: 9514 records carry NORM, but 445 of them also carry another diagnostic statement and 37 also carry AFIB -- those are disqualified / reported as ambiguous rather than accepted."
PTB-XL v1.0.3,ptbxl,AFIB,,,AF,ACCEPT,True,"SCP rhythm statement ""atrial fibrillation"" -- an unambiguous, direct assertion of AF. 1514 records. NOTE: 1466 of these carry likelihood 0.0, which for PTB-XL rhythm statements means ""unscored"", not ""absent"" -- see rules.ptbxl_likelihood."
PTB-XL v1.0.3,ptbxl,LVH,,,LVH,ACCEPT,True,"SCP diagnostic statement ""left ventricular hypertrophy"" (diagnostic_class HYP, diagnostic_subclass LVH). A diagnostic-level LVH assertion, not a voltage-criterion observation. 2132 records."
PTB-XL v1.0.3,ptbxl,VCLVH,,,(none),EXCLUDE_UNCERTAIN,True,"""Voltage criteria (QRS) for left ventricular hypertrophy"". VERIFIED from scp_statements.csv: this is a FORM statement (form=1, diagnostic=NaN, no diagnostic_class) -- it records a voltage measurement, not an LVH diagnosis. PTB-XL's own annotators kept it distinct from LVH. The project rules explicitly forbid mapping ""nonspecific voltage abnormalities"" to LVH. 875 records. Flip to ACCEPT/LVH only if you decide voltage criteria alone should count -- and document that choice in your thesis if you do."
PTB-XL v1.0.3,ptbxl,AFLT,,,(none),EXCLUDE_UNCERTAIN,True,"Atrial flutter. A distinct macro-reentrant atrial arrhythmia with a different ECG morphology (sawtooth flutter waves, often regular ventricular response). Explicitly excluded from AF by project rules. 73 records."
PTB-XL v1.0.3,ptbxl,SVTAC,,,(none),EXCLUDE_UNCERTAIN,True,Supraventricular tachycardia -- not AF.
PTB-XL v1.0.3,ptbxl,PSVT,,,(none),EXCLUDE_UNCERTAIN,True,Paroxysmal SVT -- not AF.
PTB-XL v1.0.3,ptbxl,SVARR,,,(none),EXCLUDE_UNCERTAIN,True,"Supraventricular arrhythmia, unspecified -- 'unspecified irregular rhythm', excluded from AF by project rules."
PTB-XL v1.0.3,ptbxl,RVH,,,(none),EXCLUDE_NOT_TARGET,True,Right ventricular hypertrophy -- a different chamber. Not LVH.
PTB-XL v1.0.3,ptbxl,SEHYP,,,(none),EXCLUDE_NOT_TARGET,True,Septal hypertrophy -- not left-ventricular hypertrophy. Project rules forbid mapping unrelated hypertrophy to LVH.
PTB-XL v1.0.3,ptbxl,LAO/LAE,,,(none),EXCLUDE_NOT_TARGET,True,"Left atrial overload/enlargement -- atrial, not ventricular."
PTB-XL v1.0.3,ptbxl,RAO/RAE,,,(none),EXCLUDE_NOT_TARGET,True,"Right atrial overload/enlargement -- atrial, not ventricular."
PTB-XL v1.0.3,ptbxl,IMI,,,(none),EXCLUDE_UNCERTAIN,True,"Inferior MI -- location only, no ST-elevation assertion. Not mappable to STEMI."
PTB-XL v1.0.3,ptbxl,ASMI,,,(none),EXCLUDE_UNCERTAIN,True,Anteroseptal MI -- location only. Not mappable to STEMI.
PTB-XL v1.0.3,ptbxl,AMI,,,(none),EXCLUDE_UNCERTAIN,True,Anterior MI -- location only. Not mappable to STEMI.
PTB-XL v1.0.3,ptbxl,ALMI,,,(none),EXCLUDE_UNCERTAIN,True,Anterolateral MI -- location only. Not mappable to STEMI.
PTB-XL v1.0.3,ptbxl,ILMI,,,(none),EXCLUDE_UNCERTAIN,True,Inferolateral MI -- location only. Not mappable to STEMI.
PTB-XL v1.0.3,ptbxl,LMI,,,(none),EXCLUDE_UNCERTAIN,True,Lateral MI -- location only. Not mappable to STEMI.
PTB-XL v1.0.3,ptbxl,PMI,,,(none),EXCLUDE_UNCERTAIN,True,Posterior MI -- location only. Not mappable to STEMI.
PTB-XL v1.0.3,ptbxl,IPMI,,,(none),EXCLUDE_UNCERTAIN,True,Inferoposterior MI -- location only. Not mappable to STEMI.
PTB-XL v1.0.3,ptbxl,IPLMI,,,(none),EXCLUDE_UNCERTAIN,True,Inferoposterolateral MI -- location only. Not mappable to STEMI.
PTB-XL v1.0.3,ptbxl,INJAS,,,(none),EXCLUDE_UNCERTAIN,True,"Subendocardial injury, anteroseptal. SUBendocardial injury is the electrophysiological opposite of transmural ST-elevation. Never STEMI."
PTB-XL v1.0.3,ptbxl,INJAL,,,(none),EXCLUDE_UNCERTAIN,True,"Subendocardial injury, anterolateral. Never STEMI."
PTB-XL v1.0.3,ptbxl,INJIN,,,(none),EXCLUDE_UNCERTAIN,True,"Subendocardial injury, inferior. Never STEMI."
PTB-XL v1.0.3,ptbxl,INJIL,,,(none),EXCLUDE_UNCERTAIN,True,"Subendocardial injury, inferolateral. Never STEMI."
PTB-XL v1.0.3,ptbxl,INJLA,,,(none),EXCLUDE_UNCERTAIN,True,"Subendocardial injury, lateral. Never STEMI."
PTB-XL v1.0.3,ptbxl,STE_,,,(none),EXCLUDE_UNCERTAIN,True,"'Non-specific ST elevation' -- a FORM statement. ST elevation alone is not STEMI (cf. early repolarisation, pericarditis, LVH strain, LBBB). Mapping this to STEMI is exactly the error the project rules forbid."
PTB-XL v1.0.3,ptbxl,SR,,,(none),NORMAL_NEUTRAL,False,"Sinus rhythm -- the expected baseline rhythm. Neutral: does NOT by itself make a record NORMAL (project rules), and does not disqualify it."
PTB-XL v1.0.3,ptbxl,SBRAD,,,(none),NORMAL_NEUTRAL,False,"Sinus bradycardia -- a rate observation, common in healthy/athletic subjects. Does not disqualify an otherwise-NORM ECG."
PTB-XL v1.0.3,ptbxl,STACH,,,(none),NORMAL_NEUTRAL,False,"Sinus tachycardia -- a rate observation (pain, anxiety, exertion). Does not disqualify an otherwise-NORM ECG."
PTB-XL v1.0.3,ptbxl,SARRH,,,(none),NORMAL_NEUTRAL,False,Sinus arrhythmia -- physiological respiratory variation. Benign.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,164889003,AFIB,Atrial Fibrillation,AF,ACCEPT,True,"SNOMED-CT 164889003 ""Atrial fibrillation"", defined as AFIB in the dataset's own ConditionNames_SNOMED-CT.csv. Unambiguous. 1774 records. VERIFIED: never co-occurs with atrial flutter (0 records) or with sinus rhythm (0 records) in this dataset -- internally consistent."
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,164873001,LVH,left ventricle hypertrophy,LVH,ACCEPT,True,"SNOMED-CT 164873001 ""Left ventricular hypertrophy"", defined as LVH in the dataset's own ConditionNames_SNOMED-CT.csv. 645 records -- this is the ONLY LVH code the distribution documents."
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,426783006,SR,Sinus Rhythm,(none),NORMAL_NEUTRAL,False,"Sinus rhythm. Used as this source's `normal_assertion`, but per project rules is NOT sufficient on its own -- the record must also carry no other non-neutral code. 8102 carry SR; 5890 are SR-only."
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,55827005,,UNDEFINED IN THIS DISTRIBUTION -- evidence indicates LVH,(none),EXCLUDE_RECORD,True,"SNOMED-CT 55827005 occurs in 5384 Chapman/Ningbo records (12% of the database) but is NOT defined in the shipped ConditionNames_SNOMED-CT.csv. EMPIRICAL INVESTIGATION (see README section 6). Signal-level testing indicates this code IS left ventricular hypertrophy: * Sokolow-Lyon voltage, measured from the waveforms: median 3.73 mV with 63.6% exceeding the 3.5 mV LVH threshold. PTB-XL's own diagnostic LVH statement scores 3.59 mV / 53.8% -- i.e. these records are indistinguishable from confirmed LVH annotated by a different institution in a different country. * Two independent control groups (Chapman sinus-rhythm-only, PTB-XL NORM) both sit at ~2.2 mV / ~3%, cross-validating the measurement. * Confounder ""sick older patients"" excluded: comorbidity-matched flutter patients without either LVH code score 2.22 mV / 8.8%. * Confounder ""LBBB"" excluded: QRS duration 70 ms, identical to normals (70 ms) and LVH (74 ms), versus 148 ms for confirmed CLBBB. DECISION: the records are nevertheless EXCLUDED ENTIRELY, because the evidence is behavioural rather than documentary -- the distribution still does not define the code, and no clinician has signed it off. EXCLUDE_RECORD (not EXCLUDE_UNCERTAIN) is used deliberately: leaving these records in the cohort under some other label would silently assert LVH=0 on ~370 recordings that most likely DO have LVH, which would train the LVH head against the truth. Dropping the records forfeits data but asserts nothing false. COST: removes ~5384 records from the candidate pool, of which ~370 would otherwise have been kept (mostly as AF). AF falls from 3107 to roughly 2741 valid records; LVH is essentially unchanged. TO ACCEPT IT AS LVH once a clinician confirms the code, set: maps_to: LVH status: ACCEPT which raises Chapman LVH from 645 to ~6027 and total LVH to ~8159."
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,164890007,AF,Atrial Flutter,(none),EXCLUDE_UNCERTAIN,True,"*** NAMING TRAP: the acronym ""AF"" in this dataset means ATRIAL FLUTTER, not atrial fibrillation. *** 8036 records. Mapping this acronym to CardioSentry AF would inject 8036 flutter ECGs into the AF class -- more than four times the true AF count -- and is explicitly forbidden by the project rules. Atrial fibrillation is 164889003."
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,426761007,SVT,Supraventricular Tachycardia,(none),EXCLUDE_UNCERTAIN,True,SVT -- not AF. Excluded by project rules.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,713422000,AT,Atrial Tachycardia,(none),EXCLUDE_UNCERTAIN,True,"Atrial tachycardia -- an organised atrial arrhythmia, not AF."
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,233897008,AVRT,Atrioventricular Reentrant Tachycardia,(none),EXCLUDE_UNCERTAIN,True,AVRT -- not AF.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,427393009,SA,Sinus Irregularity,(none),EXCLUDE_UNCERTAIN,True,Sinus irregularity -- an 'unspecified irregular rhythm'. Explicitly excluded from AF by project rules.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,195101003,SAAWR,Sinus Atrium to Atrial Wandering Rhythm,(none),EXCLUDE_UNCERTAIN,True,Wandering atrial pacemaker -- irregular but not AF.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,89792004,RVH,right ventricle hypertrophy,(none),EXCLUDE_NOT_TARGET,True,Right ventricular hypertrophy -- different chamber. Not LVH.
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,446358003,RAH,right atrial hypertrophy,(none),EXCLUDE_NOT_TARGET,True,"Right atrial hypertrophy -- atrial, not ventricular. Not LVH."
Chapman-Shaoxing / Ningbo 12-lead ECG database,chapman,251146004,LVQRSAL,lower voltage QRS in all lead,(none),EXCLUDE_NOT_TARGET,True,"Low QRS voltage -- a voltage abnormality, and the OPPOSITE of the high-voltage pattern of LVH."
